#{"t_start": 1770626298.5408156, "env_id": "AdroitHandRelocate-v1"}
r,l,t
21.3,100,1.385862
37.6,100,1.450121
28.0,100,1.512707
40.6,100,1.587438
22.2,100,1.667686
32.7,100,1.738277
39.0,100,1.81673
38.6,100,1.887495
22.3,100,1.959393
36.1,100,2.031292
42.1,100,3.062211
43.7,100,3.917122
31.2,100,4.736426
-185.140002,100,5.551951
-199.489907,100,6.405577
-328.1,100,7.201077
97.347833,100,7.988986
-158.306849,100,8.816071
-205.381338,100,9.653675
17.3,100,10.437007
-247.564448,100,11.725621
45.1,100,12.609844
-219.910769,100,13.419252
-219.646947,100,14.256826
30.3,100,15.111672
12.85376,100,15.93552
27.5,100,16.830957
69.536766,100,17.642754
37.8,100,18.500125
43.8,100,19.320335
44.9,100,20.093992
48.1,100,20.894345
47.4,100,21.67145
47.1,100,22.451257
46.0,100,23.262177
38.6,100,24.042391
49.5,100,24.798262
49.3,100,25.69711
49.4,100,26.590848
48.7,100,27.437639
49.5,100,28.635838
49.5,100,29.482828
45.3,100,30.36237
27.8,100,31.216108
24.3,100,32.130112
24.5,100,33.022429
28.1,100,33.847568
15.5,100,34.650767
60.28081,100,35.516121
-263.341444,100,36.341991
40.0,100,37.228617
-7.330439,100,38.118301
80.199919,100,38.944805
48.641538,100,39.722919
-35.31974,100,40.509251
-240.066572,100,41.324082
-140.920177,100,42.140695
-249.43003,100,42.956245
41.509009,100,43.776074
71.156587,100,44.562856
41.0,100,45.87441
43.3,100,46.75114
23.4,100,47.646332
24.4,100,48.553614
-90.081424,100,49.479674
-40.3813,100,50.362237
19.2,100,51.18533
26.8,100,51.965644
38.2,100,52.764911
44.711543,100,53.541328
-55.222424,100,54.375342
22.0,100,55.166298
35.5,100,56.037215
35.5,100,56.833738
93.841252,100,57.645763
-137.357851,100,58.467999
43.5,100,59.287129
-194.1,100,60.092901
37.8,100,60.893794
-329.5,100,61.700639
-305.9,100,62.873447
-220.390289,100,63.747177
-213.541702,100,64.607677
-177.847184,100,65.445448
-193.376783,100,66.224165
-209.579039,100,66.974388
-237.722013,100,67.740212
29.5,100,68.487376
-118.892503,100,69.225509
22.2,100,70.026638
32.2,100,70.761657
25.0,100,71.508756
32.2,100,72.240053
31.6,100,73.033576
27.9,100,73.810917
29.1,100,74.549683
-87.372976,100,75.349452
-223.801355,100,76.129945
-313.2,100,76.914093
-203.771578,100,77.717883
-240.178348,100,78.874646
-284.7,100,79.652478
-206.593842,100,80.399947
-282.5,100,81.203442
-214.804411,100,82.036525
-213.532065,100,82.801796
-210.658856,100,83.621014
-280.2,100,84.434375
-345.6,100,85.201336
-331.2,100,85.945569
93.412947,100,86.697521
47.9,100,87.46975
-303.7,100,88.231864
-368.6,100,88.97164
-312.4,100,89.773317
-312.2,100,90.571131
-292.3,100,91.349277
-321.8,100,92.110191
30.9,100,92.853875
85.477138,100,93.652134
34.1,100,94.991825
30.6,100,95.826792
-311.0,100,96.662053
44.9,100,97.42757
44.3,100,98.189836
27.4,100,98.904821
-350.7,100,99.621141
-350.4,100,100.380617
-249.9,100,101.173841
46.8,100,101.93196
45.2,100,102.675728
44.8,100,103.411606
44.4,100,104.172081
46.8,100,104.937938
44.3,100,105.728124
46.7,100,106.486641
46.9,100,107.268129
44.9,100,108.034292
-54.9,100,108.946999
31.0,100,109.895415
42.0,100,111.132089
47.3,100,112.000343
41.9,100,112.797177
45.5,100,113.703096
36.4,100,114.625225
44.0,100,115.515925
43.6,100,116.548643
40.8,100,117.510846
39.5,100,118.493797
41.8,100,119.594949
39.1,100,120.54847
39.7,100,121.566448
42.2,100,122.497449
44.0,100,123.509928
44.5,100,124.433559
38.4,100,125.37313
42.2,100,126.297526
35.4,100,127.203256
34.1,100,128.162778
-74.9,100,129.04295
36.6,100,130.322228
34.7,100,131.159736
34.9,100,132.033886
39.8,100,132.872967
36.8,100,133.750334
38.7,100,134.630118
36.8,100,135.500281
35.4,100,136.391961
34.3,100,137.343745
43.2,100,138.295491
47.6,100,139.180935
46.5,100,140.037615
46.8,100,140.943573
41.3,100,141.873527
44.1,100,142.771193
41.7,100,143.618445
43.1,100,144.457125
46.2,100,145.304513
39.0,100,146.171982
38.2,100,147.173645
45.5,100,148.399441
-27.8,100,149.270082
-343.5,100,150.130088
-280.8,100,150.904067
34.2,100,151.691617
47.5,100,152.513977
49.0,100,153.311809
40.6,100,154.096551
37.0,100,154.890433
-244.1,100,155.676281
45.0,100,156.455475
45.2,100,157.245811
40.8,100,157.986681
36.8,100,158.741122
16.2,100,159.490616
44.2,100,160.235631
48.4,100,161.120561
48.7,100,161.890405
48.9,100,162.670187
48.7,100,163.557727
49.1,100,164.841376
49.1,100,165.739119
49.0,100,166.615085
49.2,100,167.56302
48.6,100,168.552646
49.0,100,169.488474
48.8,100,170.433516
49.3,100,171.268019
48.9,100,172.123144
46.2,100,172.995907
47.1,100,173.745989
48.2,100,174.522674
48.4,100,175.341858
48.7,100,176.166774
48.5,100,177.016661
45.0,100,177.860616
-344.9,100,178.729093
46.6,100,179.558272
-301.3,100,180.39382
45.1,100,181.258909
41.4,100,182.513388
44.3,100,183.368251
-326.7,100,184.267948
-336.3,100,185.176372
-269.8,100,186.077745
-302.5,100,186.95732
-317.0,100,187.824001
-289.3,100,188.718718
83.0,75,189.385899
46.0,100,190.328963
-295.7,100,191.219004
47.3,100,192.058985
-209.152674,100,192.966616
-265.5,100,193.827482
-336.3,100,194.763233
46.8,100,195.618822
-298.0,100,196.462435
-333.4,100,197.308775
-315.3,100,198.189009
-191.2,100,199.056879
86.8,88,200.198893
-337.4,100,201.157058
-322.3,100,202.08081
-320.1,100,203.019381
45.6,100,203.98192
-332.0,100,204.913269
-235.9,100,205.758997
-308.5,100,206.570768
44.6,100,207.37753
45.6,100,208.188709
43.6,100,209.039222
-290.6,100,209.793516
-287.0,100,210.565374
-287.2,100,211.320348
47.2,100,212.052185
47.4,100,212.833592
48.4,100,213.633369
47.4,100,214.378069
45.8,100,215.203458
48.2,100,216.001191
47.7,100,217.347571
46.6,100,218.216731
48.2,100,219.149146
47.7,100,220.003101
46.9,100,220.837913
47.0,100,221.644036
-32.6,100,222.413973
49.8,100,223.233392
64.6,34,223.50569
42.9,100,224.323665
39.7,100,225.100809
80.978865,100,225.892093
42.0,100,226.670449
47.2,100,227.507336
43.6,100,228.277094
43.7,100,229.081601
46.5,100,229.847257
41.1,100,230.62149
47.0,100,231.400847
39.8,100,232.236761
47.6,100,233.02103
37.3,100,234.311132
-346.4,100,235.095895
10.0,100,235.953044
34.4,100,236.823723
42.6,100,237.608014
39.8,100,238.401116
44.8,100,239.245784
44.4,100,240.087122
42.4,100,240.898827
42.1,100,241.666656
46.7,100,242.469867
45.1,100,243.370367
43.8,100,244.333262
42.6,100,245.35831
46.0,100,246.307157
-289.3,100,247.188315
43.6,100,248.085823
49.2,100,248.983929
41.7,100,249.819076
49.3,100,250.68589
-20.3,100,251.960449
-39.49247,100,252.926434
-264.618487,100,253.771543
40.4,100,254.686994
70.496545,100,255.627113
-171.053568,100,256.497021
34.3,100,257.321753
96.431472,100,258.176567
10.913944,100,259.032288
28.6,100,259.861349
41.4,100,260.725302
98.413599,100,261.517786
37.9,100,262.388978
-116.1,100,263.236517
44.7,100,264.062033
41.8,100,264.901258
38.9,100,265.764354
148.989635,100,266.642958
-67.066795,100,267.490186
-205.652045,100,268.313142
141.372719,100,269.492479
-266.249302,100,270.342605
90.886285,100,271.1669
35.7,100,271.965581
33.9,100,272.712955
34.2,100,273.532492
30.8,100,274.378658
33.9,100,275.235213
73.58392,100,276.073533
31.1,100,276.894052
106.467268,100,277.767696
33.5,100,278.623919
31.9,100,279.486181
-227.593012,100,280.342866
-288.14275,100,281.226132
25.6,100,282.16111
20.7,100,283.024674
18.4,100,283.822523
23.9,100,284.639443
26.7,100,285.440698
29.4,100,286.680061
23.8,100,287.469098
23.9,100,288.36003
26.9,100,289.168965
26.3,100,290.025712
21.2,100,290.841799
29.2,100,291.82499
31.3,100,292.729292
46.1,100,293.704403
47.1,100,294.614908
46.3,100,295.559962
39.2,100,296.388581
49.0,100,297.215373
49.2,100,298.051295
35.5,100,298.949093
35.0,100,299.830812
41.5,100,300.607875
-51.146549,100,301.379467
46.4,100,302.136739
39.6,100,302.889189
35.2,100,304.067402
40.3,100,304.949557
44.5,100,305.835848
47.2,100,306.745865
47.4,100,307.49045
46.4,100,308.255788
44.6,100,309.031253
46.2,100,309.820778
41.4,100,310.581498
40.0,100,311.334188
24.0,100,312.061122
42.7,100,312.903955
30.4,100,313.738757
43.9,100,314.52674
27.7,100,315.267865
29.7,100,316.04937
31.9,100,316.811036
28.3,100,317.532451
-265.7,100,318.308185
30.6,100,319.085986
41.2,100,320.235761
-163.5,100,321.070983
41.2,100,321.921101
48.6,100,322.766068
48.4,100,323.529133
23.7,100,324.294145
20.9,100,325.046945
32.3,100,325.81313
26.9,100,326.584082
31.9,100,327.374992
42.1,100,328.159828
41.3,100,328.996822
40.9,100,329.75515
41.3,100,330.506593
41.4,100,331.265662
42.3,100,332.037916
44.7,100,332.767245
36.6,100,333.508578
-325.6,100,334.333961
-305.0,100,335.18561
-256.5,100,336.509567
42.0,100,337.283034
44.7,100,338.035868
-308.9,100,338.794277
39.6,100,339.588856
45.9,100,340.358496
-90.1,100,341.134088
32.2,100,341.924356
42.2,100,342.70345
34.1,100,343.571633
45.3,100,344.375818
-267.4,100,345.171326
-85.2,100,345.957952
41.2,100,346.823852
-107.912229,100,347.601657
-327.0,100,348.410629
38.1,100,349.172346
31.1,100,349.954866
35.5,100,350.704162
29.6,100,351.480891
-31.500928,100,352.642615
33.0,100,353.541026
39.8,100,354.335694
35.9,100,355.132261
38.1,100,355.98687
37.3,100,356.814518
39.0,100,357.638234
39.4,100,358.452417
121.487056,100,359.317247
34.4,100,360.172402
40.0,100,361.111996
42.6,100,362.010258
16.7,100,362.938952
-267.0,100,363.809743
32.7,100,364.667161
43.9,100,365.502198
41.0,100,366.350165
45.3,100,367.178187
42.8,100,367.993207
41.9,100,368.825146
34.9,100,370.052856
-67.890485,100,370.871274
-324.8,100,371.700668
-33.0,100,372.595239
-61.6,100,373.464592
24.4,100,374.324842
38.8,100,375.219687
40.9,100,376.085883
38.4,100,376.969558
-73.767765,100,377.800668
-76.54708,100,378.686672
-20.121082,100,379.528379
-317.9,100,380.360437
-124.283537,100,381.224573
257.904255,100,382.201882
-86.15321,100,383.075491
-83.280684,100,383.948149
-74.33212,100,384.788914
-9.576368,100,385.659664
-90.035295,100,386.571598
17.7,100,387.782393
20.1,100,388.626386
21.5,100,389.432897
24.4,100,390.330984
27.0,100,391.23734
20.1,100,392.187983
26.3,100,393.10111
-19.610645,100,393.954654
-50.009572,100,394.721747
-93.330292,100,395.48053
-15.469467,100,396.248115
-36.762652,100,396.989498
-20.240966,100,397.761406
-17.613523,100,398.585261
262.307009,100,399.522074
-36.745792,100,400.445245
-14.044233,100,401.335978
125.990279,100,402.239131
-54.792086,100,403.142118
-9.846729,100,404.043762
3.370495,100,405.270015
-7.738338,100,406.180479
-9.163007,100,407.070712
34.849592,100,407.98554
-24.626144,100,408.859641
312.478318,100,409.886378
-16.890266,100,410.743403
264.274064,100,411.589532
177.715777,100,412.450931
217.177605,100,413.287674
221.994077,100,414.119324
270.180289,100,414.965484
164.974128,100,415.844257
106.799229,100,416.783891
216.858532,100,417.681982
-49.524419,100,418.636137
366.017751,100,419.672538
-45.952865,100,420.659604
272.484946,100,421.640675
57.973894,100,422.559423
266.456089,100,423.916514
417.248459,100,424.83549
360.785426,100,425.81551
320.724107,100,426.799949
416.387441,100,427.795624
297.334216,100,428.780375
354.610359,100,429.746459
401.316408,100,430.742487
386.364253,100,431.747948
78.661835,100,432.761024
326.530991,100,433.801215
149.597132,100,434.79854
254.240857,100,435.803301
254.788189,100,436.817145
196.346854,100,437.678205
361.725293,100,438.64441
398.211478,100,439.688089
256.131868,100,440.575734
401.218,100,441.626972
267.573378,100,442.607595
264.91483,100,443.894223
299.103865,100,444.821517
227.138143,100,445.636836
-53.861956,100,446.441623
361.758217,100,447.279464
220.066437,100,448.063796
33.5,100,448.853912
206.421505,100,449.715967
229.921483,100,450.552598
379.171202,100,451.488294
158.72681,100,452.356441
-63.094955,100,453.190929
95.387928,100,454.014423
327.94753,100,454.935137
231.478137,100,455.739029
-185.652945,100,456.539514
412.360382,100,457.503525
40.6,100,458.335128
39.4,100,459.207998
41.4,100,460.06936
80.73417,100,461.401411
34.0,100,462.222803
35.5,100,463.073076
40.4,100,463.914155
25.154725,100,464.792611
29.454068,100,465.576007
162.297779,100,466.314821
89.844551,100,467.065007
54.116491,100,467.82127
145.720174,100,468.586383
41.5,100,469.330901
-10.1,100,470.123514
68.639437,100,470.907645
-213.561017,100,471.616698
-214.2,100,472.344323
36.7,100,473.088456
44.7,100,473.847778
-25.4,100,474.595375
119.075508,100,475.421844
-22.0,100,476.238877
-183.229679,100,477.450696
30.1,100,478.263511
-237.9,100,479.09765
33.4,100,479.947942
34.9,100,480.778631
29.9,100,481.612879
21.5,100,482.471148
31.3,100,483.329012
-228.2,100,484.155617
20.7,100,484.984946
27.0,100,485.797216
-269.3,100,486.599554
34.1,100,487.44193
42.1,100,488.294079
35.1,100,489.166192
56.751996,100,490.060341
36.0,100,490.884998
-141.1,100,491.73037
90.040885,100,492.528762
44.8,100,493.35544
42.8,100,494.600976
43.0,100,495.470609
43.2,100,496.392382
40.2,100,497.250799
43.0,100,498.127435
46.0,100,499.041925
47.1,100,499.930202
42.0,100,500.745517
29.1,100,501.597829
45.0,100,502.34772
39.2,100,503.157906
34.5,100,503.977745
41.7,100,504.79596
42.7,100,505.613658
32.4,100,506.430123
32.4,100,507.289496
39.3,100,508.124672
-156.947053,100,508.901683
41.8,100,509.781187
42.6,100,510.647848
42.5,100,511.897504
83.982939,35,512.17181
36.6,100,512.969684
31.4,100,513.835728
-315.0,100,514.6229
40.3,100,515.534809
41.9,100,516.36252
14.88161,100,517.218459
34.0,100,518.078467
-60.066315,100,518.882659
27.2,100,519.712664
30.2,100,520.587824
287.861341,100,521.535728
41.1,100,522.414894
-116.6,100,523.278287
44.5,100,524.223761
178.339124,100,525.132533
221.282716,100,526.11176
38.4,100,527.070306
40.5,100,528.062113
46.6,100,529.421942
24.8,100,530.416342
42.1,100,531.403185
39.2,100,532.381182
31.8,100,533.34611
30.6,100,534.164641
110.437574,100,535.006411
-96.3,100,535.783682
39.7,100,536.595429
40.5,100,537.350013
41.2,100,538.131779
-72.8,100,538.902921
38.0,100,539.673137
45.2,100,540.480087
47.6,100,541.248429
46.5,100,542.039192
47.8,100,542.864987
48.1,100,543.776944
43.3,100,544.660134
45.0,100,545.506724
47.7,100,546.68029
40.7,100,547.578266
46.5,100,548.450838
44.4,100,549.242795
38.4,100,550.06292
39.7,100,550.920276
42.4,100,551.839546
13.2,100,552.674868
35.2,100,553.516444
28.8,100,554.296613
41.9,100,555.162896
22.1,100,555.986227
42.1,100,556.821214
19.6,100,557.641938
-52.5,100,558.416567
13.2,100,559.352236
29.5,100,560.291624
24.3,100,561.158682
24.7,100,561.987958
24.4,100,562.925889
21.0,100,564.251813
29.4,100,565.110196
28.4,100,565.976142
26.2,100,566.794355
26.2,100,567.579105
31.7,100,568.326894
28.1,100,569.081377
27.8,100,569.840183
26.6,100,570.625212
43.6,100,571.449897
42.0,100,572.316225
40.9,100,573.091503
38.9,100,573.884905
4.78473,100,574.644294
33.9,100,575.425916
44.0,100,576.19989
40.6,100,576.922398
40.5,100,577.689451
32.7,100,578.463215
41.0,100,579.259511
42.8,100,580.665323
34.6,100,581.462484
127.678255,20,581.633235
27.4,100,582.477523
30.5,100,583.238803
31.4,100,583.99286
31.3,100,584.735757
53.5,11,584.844663
31.3,100,585.61942
29.5,100,586.367871
29.6,100,587.097241
30.6,100,587.876506
-233.9,100,588.619412
20.0,100,589.34749
18.441343,100,590.113757
25.2,100,590.882784
25.2,100,591.657072
92.072861,21,591.814129
24.5,100,592.578442
-17.182587,100,593.359649
29.8,100,594.114818
37.2,100,594.885554
14.570463,100,595.726294
30.0,100,596.97565
32.3,100,597.835036
-198.824035,100,598.690757
33.4,100,599.534706
38.3,100,600.390655
28.9,100,601.207059
34.0,100,602.042487
30.1,100,602.901165
31.7,100,603.79157
38.0,100,604.663543
355.304043,100,605.634446
34.4,100,606.661322
31.4,100,607.549502
41.0,100,608.497468
38.1,100,609.428852
31.6,100,610.37986
34.4,100,611.327354
-123.330155,100,612.225736
126.879944,100,613.170543
128.234447,100,614.116748
286.877671,100,615.530882
32.7,100,616.439367
25.6,100,617.296267
389.274317,100,618.223392
-9.6,100,619.211313
36.6,100,620.15341
27.5,100,621.11956
-185.829665,100,622.073012
28.4,100,622.961784
30.1,100,623.881859
27.7,100,624.832441
26.1,100,625.706837
25.9,100,626.644619
340.4429,100,627.572163
-327.5,100,628.443518
23.3,100,629.269449
29.2,100,630.168881
-323.9,100,631.091509
46.3,100,631.949609
21.0,100,632.784721
42.6,100,633.994128
-339.5,100,634.821316
27.5,100,635.711811
34.9,100,636.584611
-257.356671,100,637.41779
-273.322222,100,638.350725
33.8,100,639.176445
30.1,100,640.003843
-307.4,100,640.859404
27.2,100,641.719979
30.4,100,642.494446
39.8,100,643.259453
28.3,100,644.011545
33.6,100,644.854639
30.6,100,645.694983
-180.2,100,646.510396
39.0,100,647.358393
30.8,100,648.24143
35.4,100,649.150999
44.8,100,650.028153
30.0,100,651.366798
31.4,100,652.312116
49.3,100,653.259479
49.0,100,654.078428
47.9,100,654.967539
46.1,100,655.774359
49.2,100,656.632483
6.7,100,657.495758
42.2,100,658.384479
34.7,100,659.324042
49.8,100,660.174567
49.0,100,661.007291
44.6,100,662.414701
44.8,100,664.134631
44.1,100,666.148783
41.8,100,667.876909
42.1,100,669.388619
42.2,100,671.021984
36.5,100,672.216535
42.2,100,673.425833
33.8,100,675.695688
30.6,100,677.141117
48.9,100,678.470131
58.466243,100,679.787379
94.232124,100,681.202526
45.3,100,682.422925
30.5,100,683.303089
7.4,100,684.399227
37.4,100,685.634631
42.1,100,686.735326
40.5,100,688.189651
30.5,100,689.453437
-12.6,100,690.612614
74.8197,100,691.923499
64.404375,100,693.265594
-200.6,100,694.549824
-269.8,100,695.848275
31.1,100,697.045257
44.0,100,698.446061
-301.2,100,699.93322
41.1,100,702.336098
-229.7,100,703.794373
17.1,100,704.571095
15.1,100,705.387539
21.8,100,706.188096
26.0,100,706.928503
33.0,100,707.67967
30.9,100,708.428326
32.4,100,709.187472
29.0,100,709.935063
36.9,100,710.697298
41.6,100,711.457086
36.0,100,712.272539
41.6,100,713.073123
33.6,100,713.838718
38.0,100,714.609821
30.0,100,715.384411
31.3,100,716.259807
38.3,100,717.114308
42.3,100,717.992548
33.7,100,719.318503
29.1,100,720.216425
13.3,100,721.057236
25.9,100,721.868383
31.5,100,722.642385
27.7,100,723.426212
39.8,100,724.190555
35.4,100,724.989433
21.6,100,725.76039
33.0,100,726.532825
25.6,100,727.322336
